# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	891	1468	+						1261063	T7p01	578		
mRNA		GCF_000844825.1	Primary Assembly	segment		NC_001604.1	891	1468	+			NP_041954.1	0.3 mRNA		1261063	T7p01	578		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	925	1278	+	NP_041954.1			ocr-like anti-restriction		1261063	T7p01	354	117	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	1278	1433	+						1261053	T7p02	156		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	1278	1433	+	NP_041955.1			hypothetical protein		1261053	T7p02	156	51	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	1469	3138	+						1261070	T7p03	1670		
mRNA		GCF_000844825.1	Primary Assembly	segment		NC_001604.1	1469	3138	+			NP_041959.1	0.7 mRNA		1261070	T7p03	1670		
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	1496	1639	+						1261051	T7p04	144		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	1496	1639	+	NP_041956.1			hypothetical protein		1261051	T7p04	144	47	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	1636	1972	+						1261061	T7p05	337		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	1636	1972	+	NP_041957.1			hypothetical protein		1261061	T7p05	336	111	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	1636	1797	+						1261071	T7p06	162		
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	1636	1797	+	NP_041958.1			hypothetical protein		1261071	T7p06	162	53	
CDS	with_protein	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	2021	3100	+	NP_041959.1			serine-threonine kinase		1261070	T7p03	1080	359	
gene	protein_coding	GCF_000844825.1	Primary Assembly	segment		NC_001604.1	3139	5887	+						1261050	T7p07	2749		
mRNA		GCF_000844825.1	Primary Assembly	segment		NC_001604.1	3139	5887	+			NP_041960.1	1 mRNA		1261050	T7p07	2749		
